INFO:__main__:episode: 76, state: init state:[[2 9 9 0 0 0 0 0 0 0 0 0 0 0]], score: [243.818181818], loss:[0.00117244794816], sequence:[0], random actions:[1986], e:[0.68]
INFO:__main__:episode: 77, state: init state:[[ 2  9 26  0  0  0  0  0  0  0  0  0  0  0]], score: [279.272727273], loss:[0.00123721778095], sequence:[0], random actions:[1928], e:[0.68]
INFO:__main__:episode: 78, state: init state:[[ 2  9 43  0  0  0  0  0  0  0  0  0  0  0]], score: [218.727272727], loss:[0.00130758409463], sequence:[0], random actions:[1994], e:[0.68]
INFO:__main__:episode: 79, state: init state:[[ 2 10  0  0  0  0  0  0  0  0  0  0  0  0]], score: [228.363636364], loss:[0.00135154493265], sequence:[0], random actions:[1964], e:[0.67]
INFO:__main__:episode: 80, state: init state:[[ 2 10 17  0  0  0  0  0  0  0  0  0  0  0]], score: [251.818181818], loss:[0.00140181175508], sequence:[0], random actions:[1956], e:[0.67]
INFO:__main__:episode: 81, state: init state:[[ 2 10 34  0  0  0  0  0  0  0  0  0  0  0]], score: [264.727272727], loss:[0.00148001335301], sequence:[0], random actions:[1923], e:[0.67]
INFO:__main__:episode: 82, state: init state:[[ 2 10 51  0  0  0  0  0  0  0  0  0  0  0]], score: [268.727272727], loss:[0.00149628810957], sequence:[0], random actions:[1916], e:[0.66]
INFO:__main__:episode: 83, state: init state:[[ 2 11  8  0  0  0  0  0  0  0  0  0  0  0]], score: [258.363636364], loss:[0.00155325264335], sequence:[0], random actions:[1973], e:[0.66]
INFO:__main__:episode: 84, state: init state:[[ 2 11 25  0  0  0  0  0  0  0  0  0  0  0]], score: [291.272727273], loss:[0.00158554209247], sequence:[0], random actions:[1842], e:[0.66]
INFO:__main__:episode: 85, state: init state:[[ 2 11 42  0  0  0  0  0  0  0  0  0  0  0]], score: [253.454545455], loss:[0.001680273588], sequence:[0], random actions:[1893], e:[0.65]
INFO:__main__:episode: 86, state: init state:[[ 2 11 59  0  0  0  0  0  0  0  0  0  0  0]], score: [260.909090909], loss:[0.00168793042302], sequence:[0], random actions:[1871], e:[0.65]
INFO:__main__:episode: 87, state: init state:[[ 2 12 16  0  0  0  0  0  0  0  0  0  0  0]], score: [275.636363636], loss:[0.00167009008378], sequence:[0], random actions:[1826], e:[0.65]
INFO:__main__:episode: 88, state: init state:[[ 2 12 33  0  0  0  0  0  0  0  0  0  0  0]], score: [253.818181818], loss:[0.00174155281596], sequence:[0], random actions:[1833], e:[0.64]
INFO:__main__:episode: 89, state: init state:[[ 2 12 50  0  0  0  0  0  0  0  0  0  0  0]], score: [289.272727273], loss:[0.00179305171035], sequence:[0], random actions:[1871], e:[0.64]
INFO:__main__:episode: 90, state: init state:[[ 2 13  7  0  0  0  0  0  0  0  0  0  0  0]], score: [269.636363636], loss:[0.00185454169363], sequence:[0], random actions:[1805], e:[0.64]
INFO:__main__:episode: 91, state: init state:[[ 2 13 24  0  0  0  0  0  0  0  0  0  0  0]], score: [277.272727273], loss:[0.00190655093826], sequence:[0], random actions:[1814], e:[0.63]
INFO:__main__:episode: 92, state: init state:[[ 2 13 41  0  0  0  0  0  0  0  0  0  0  0]], score: [299.818181818], loss:[0.00198420957066], sequence:[0], random actions:[1826], e:[0.63]
INFO:__main__:episode: 93, state: init state:[[ 2 13 58  0  0  0  0  0  0  0  0  0  0  0]], score: [271.272727273], loss:[0.00206046705954], sequence:[0], random actions:[1807], e:[0.63]
INFO:__main__:episode: 94, state: init state:[[ 2 14 15  0  0  0  0  0  0  0  0  0  0  0]], score: [284.181818182], loss:[0.00215002384931], sequence:[0], random actions:[1797], e:[0.62]
INFO:__main__:episode: 95, state: init state:[[ 2 14 32  0  0  0  0  0  0  0  0  0  0  0]], score: [292.909090909], loss:[0.00218650388345], sequence:[0], random actions:[1839], e:[0.62]
INFO:__main__:episode: 96, state: init state:[[ 2 14 49  0  0  0  0  0  0  0  0  0  0  0]], score: [287.272727273], loss:[0.00222080444917], sequence:[0], random actions:[1794], e:[0.62]
INFO:__main__:episode: 97, state: init state:[[ 2 15  6  0  0  0  0  0  0  0  0  0  0  0]], score: [318.909090909], loss:[0.00222054908965], sequence:[0], random actions:[1740], e:[0.61]
INFO:__main__:episode: 98, state: init state:[[ 2 15 23  0  0  0  0  0  0  0  0  0  0  0]], score: [331.818181818], loss:[0.00221683754697], sequence:[0], random actions:[1739], e:[0.61]
INFO:__main__:episode: 99, state: init state:[[ 2 15 40  0  0  0  0  0  0  0  0  0  0  0]], score: [280.181818182], loss:[0.00227473954558], sequence:[0], random actions:[1798], e:[0.61]
INFO:__main__:episode: 100, state: init state:[[ 2 15 57  0  0  0  0  0  0  0  0  0  0  0]], score: [302.0], loss:[0.0023053552635], sequence:[0], random actions:[1746], e:[0.61]
INFO:__main__:episode: 101, state: init state:[[ 2 16 14  0  0  0  0  0  0  0  0  0  0  0]], score: [290.181818182], loss:[0.00241369508952], sequence:[0], random actions:[1771], e:[0.6]
INFO:__main__:episode: 102, state: init state:[[ 2 16 31  0  0  0  0  0  0  0  0  0  0  0]], score: [281.090909091], loss:[0.00246692569554], sequence:[0], random actions:[1772], e:[0.6]
INFO:__main__:episode: 103, state: init state:[[ 2 16 48  0  0  0  0  0  0  0  0  0  0  0]], score: [299.454545455], loss:[0.0025729251869], sequence:[0], random actions:[1735], e:[0.6]
INFO:__main__:episode: 104, state: init state:[[ 2 17  5  0  0  0  0  0  0  0  0  0  0  0]], score: [293.272727273], loss:[0.00263195673749], sequence:[0], random actions:[1720], e:[0.59]
INFO:__main__:episode: 105, state: init state:[[ 2 17 22  0  0  0  0  0  0  0  0  0  0  0]], score: [304.0], loss:[0.00270890243948], sequence:[0], random actions:[1739], e:[0.59]
