INFO:__main__:args:[Namespace(gpuFrac=0.3, gpuNum=2, random=False, sequential=True)]
INFO:__main__:startTime:[12:00:00] - endTime:[18:00:00]
INFO:__main__:state_size:[3]
INFO:__main__:action_size:[2]
INFO:__main__:_________________________________________________________________
INFO:__main__:Layer (type)                 Output Shape              Param #   
INFO:__main__:=================================================================
INFO:__main__:dense_1 (Dense)              (None, 128)               512       
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_2 (Dense)              (None, 64)                8256      
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_3 (Dense)              (None, 32)                2080      
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_4 (Dense)              (None, 16)                528       
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_5 (Dense)              (None, 8)                 136       
INFO:__main__:_________________________________________________________________
INFO:__main__:dense_6 (Dense)              (None, 2)                 18        
INFO:__main__:=================================================================
INFO:__main__:Total params: 11,530
INFO:__main__:Trainable params: 11,530
INFO:__main__:Non-trainable params: 0
INFO:__main__:_________________________________________________________________
INFO:__main__:epsilon_decay:[0.995], epsilon:[1.0], learning_rate:[0.001], memory:[deque([], maxlen=500)], state_size:[3], action_size:[2], epsilon_min:[0.01], model:[<keras.models.Sequential object at 0x7f521cee9990>], gamma:[0.95]
INFO:__main__:minGameScore:[255], minGameSequence:[50], gameMinutesLength:[300], batch_size:[200]
INFO:__main__:episode: 112, state: init state:[[15 27  0]], score: [-10], loss:[0.565810601339], sequence:[0], random actions:[169], e:[0.57]
INFO:__main__:episode: 113, state: init state:[[15 44  1]], score: [4], loss:[0.600713903755], sequence:[0], random actions:[170], e:[0.57]
INFO:__main__:episode: 114, state: init state:[[16  1  1]], score: [20], loss:[0.487077425793], sequence:[0], random actions:[168], e:[0.56]
INFO:__main__:episode: 115, state: init state:[[16 18  1]], score: [22], loss:[0.410834812224], sequence:[0], random actions:[164], e:[0.56]
INFO:__main__:episode: 116, state: init state:[[16 35  1]], score: [66], loss:[0.376392220232], sequence:[0], random actions:[164], e:[0.56]
INFO:__main__:episode: 117, state: init state:[[16 52  1]], score: [10], loss:[0.313620644871], sequence:[0], random actions:[160], e:[0.56]
INFO:__main__:episode: 118, state: init state:[[17  9  0]], score: [82], loss:[0.263934644482], sequence:[0], random actions:[166], e:[0.55]
INFO:__main__:episode: 119, state: init state:[[17 26  1]], score: [78], loss:[0.157695600929], sequence:[0], random actions:[175], e:[0.55]
INFO:__main__:episode: 120, state: init state:[[17 43  0]], score: [118], loss:[0.107479545523], sequence:[0], random actions:[180], e:[0.55]
INFO:__main__:episode: 121, state: init state:[[18  0  1]], score: [118], loss:[0.01006301183], sequence:[0], random actions:[165], e:[0.55]
INFO:__main__:episode: 122, state: init state:[[18 17  1]], score: [144], loss:[0.00409863253024], sequence:[0], random actions:[168], e:[0.54]
INFO:__main__:episode: 123, state: init state:[[18 34  0]], score: [132], loss:[0.00219121931446], sequence:[0], random actions:[167], e:[0.54]
INFO:__main__:episode: 124, state: init state:[[18 51  0]], score: [140], loss:[0.00302448062417], sequence:[0], random actions:[152], e:[0.54]
INFO:__main__:episode: 125, state: init state:[[19  8  0]], score: [136], loss:[0.0387205888236], sequence:[0], random actions:[158], e:[0.53]
INFO:__main__:episode: 126, state: init state:[[19 25  0]], score: [116], loss:[0.169851893922], sequence:[0], random actions:[181], e:[0.53]
INFO:__main__:episode: 127, state: init state:[[19 42  0]], score: [136], loss:[0.417073847482], sequence:[0], random actions:[160], e:[0.53]
INFO:__main__:episode: 128, state: init state:[[19 59  1]], score: [162], loss:[0.0581285912351], sequence:[0], random actions:[143], e:[0.53]
INFO:__main__:episode: 129, state: init state:[[20 16  0]], score: [164], loss:[0.256670590443], sequence:[0], random actions:[135], e:[0.52]
INFO:__main__:episode: 130, state: init state:[[20 33  1]], score: [118], loss:[0.0319105302539], sequence:[0], random actions:[162], e:[0.52]
INFO:__main__:episode: 131, state: init state:[[20 50  0]], score: [166], loss:[0.0119975936496], sequence:[0], random actions:[149], e:[0.52]
INFO:__main__:episode: 132, state: init state:[[21  7  0]], score: [138], loss:[0.00404404850876], sequence:[0], random actions:[154], e:[0.52]
